name	FD_C1	FD_C2	FD_C3	FD_C4	FD_C5	FD_C7	FD_C8	FD_PG2	FD_PG3	FD_PG5	FD_PG6	FD_PG7	FD_PG8
M392T774_pos	0.986119307	0.462726733	0.44881995	0.428470418	0.429479885	0.457397173	0.467074474	0.368186875	0.386601916	0.371470045	0.3079661	0.394401275	0.375716905
M524T772_pos	1.628266937	0.7992437	0.79584309	0.750909737	0.742255489	0.776774686	0.743232493	0.611796569	0.616816244	0.610165236	0.526625297	0.632908806	0.636406308
M480T773_pos	2.039687585	0.969994939	0.920623834	0.969951158	0.909206527	0.976405129	0.899965006	0.78376481	0.770751357	0.782295565	0.646610854	0.813586559	0.829211539
M324T580_pos	1.799858728	0.883291855	0.920087815	0.855926293	0.844728605	0.883235909	0.868649036	0.764082665	0.746400617	0.772709298	0.636182499	0.74163546	0.723933602
M960T438_pos	0.115056656	0.043150496	0.06541456	0.05533861	0.056505581	0.000843626	0.000805238	0.135504801	0.259988256	0.308292899	0.254012068	0.359568037	0.237901103
M277T475_pos	0.521978804	0.219529068	0.216367848	0.200889683	0.209121014	0.218399876	0.213729633	0.15522082	0.153033743	0.151896229	0.140119422	0.143462167	0.152561578
M304T558_pos	0.595237466	0.276371718	0.262188358	0.259401756	0.238506014	0.248769623	0.252756727	0.221902084	0.211329064	0.219162307	0.178555612	0.208429849	0.205603958
M578T743_pos	1.548248237	0.784614773	0.847667902	0.651724061	0.667372542	0.697419385	0.689625418	0.601373335	0.652080135	0.59403984	0.500977117	0.568874812	0.610319247
M754T677_pos	0.549264638	0.248930146	0.23895767	0.224618178	0.219185871	0.208744285	0.187698109	0.132528916	0.124392228	0.11794764	0.103533415	0.114952769	0.112799921
M209T629_pos	1.558411006	0.718510582	0.749061504	0.705730327	0.736162457	0.761255797	0.723188926	0.624502998	0.64648852	0.646040009	0.541528758	0.646856358	0.70201158
M454T645_pos	0.197132485	0.112751636	0.096459495	0.115065459	0.106242159	0.104628389	0.101358747	0.083964572	0.080985844	0.078917379	0.066152974	0.069117355	0.08001393
M436T773_pos	1.343040128	0.621008504	0.595840943	0.54025616	0.56061948	0.580627851	0.583308475	0.465007889	0.44776729	0.453130535	0.376059271	0.444463701	0.462613102
M551T54_pos	0.04528525	0.046890729	0.048593585	0.041947562	0.045526802	0.047599698	0.042965362	0.120752322	0.134609253	0.156784053	0.11458801	0.124576461	0.189014703
M506T778_pos	3.699158257	1.731004638	1.646262344	1.766832719	1.60588847	1.741802292	1.706929513	1.399145284	1.399598037	1.359318527	1.239824771	1.372332359	1.470085253
M360T271_pos	0.817450374	0.447647525	0.381301993	0.420782467	0.600643852	0.805015802	0.880890071	1.243495063	1.41638118	1.844592256	1.367636393	1.624914469	1.459746991
M550T777_pos	2.919690378	1.380181058	1.357431611	1.348627087	1.338875919	1.342593619	1.34471007	1.130340362	1.131442995	1.10594716	0.976877718	1.115919169	1.152589302
M593T277_pos	0.091915429	0.084918869	0.110326883	0.057139146	0.131539718	0.162469076	0.108757954	0.261204335	0.290945892	0.300208383	0.16228627	0.225901504	0.219414472
M235T499_pos	1.29490135	0.636948393	0.59513134	0.613134302	0.595318647	0.635583938	0.638163922	0.561147508	0.568188525	0.575610452	0.436902781	0.565311545	0.542199507
M251T507_pos	0.323420535	0.16513276	0.167983665	0.169114304	0.168047341	0.170653494	0.162892947	0.149587247	0.147195232	0.14050639	0.120294165	0.133653225	0.148846456
M546T658_pos	9.935066296	4.588494741	3.951332725	3.768332008	3.441119297	3.503315553	3.201284828	2.994028881	3.035907201	2.955037533	2.348775628	2.995607824	2.887511728
M776T735_pos	1.556875078	0.784710236	0.854934228	0.70796082	0.798100155	0.736438227	0.796695921	0.378765291	0.38074997	0.557804325	0.366092565	0.363988651	0.481547865
M391T145_pos	0.14537823	0.173439184	0.175006849	0.165296029	0.167279302	0.189008535	0.193634492	0.633520094	0.587882857	0.768039564	0.41896105	0.758386401	0.42084481
M594T776_pos	2.053563116	0.980479495	0.966474588	0.979259616	0.952895497	0.931364058	0.953900913	0.78674335	0.794144127	0.780301517	0.681903368	0.796640599	0.829384341
M223T664_pos	10.56283226	5.193545162	5.103549325	4.974370575	4.858568953	4.941657291	4.782786671	4.361419003	4.362110695	4.190623654	3.541703911	4.145090904	4.217112617
M695T228_pos	0.039479078	0.035510803	0.044676912	0.040733927	0.038076808	0.032502019	0.04529711	0.090974191	0.099853893	0.114170546	0.186101849	0.188981416	0.117505516
M341T660_pos	0.563799431	0.265933049	0.276627553	0.243345724	0.245833599	0.264318234	0.25147567	0.250325552	0.246602735	0.221343892	0.188621524	0.230048202	0.241135776
M929T438_1_pos	0.028433422	0.019337658	0.015356138	0.0184728	0.029060661	0.029196783	0.026472258	0.038596233	0.065984606	0.086529306	0.078855747	0.109479832	0.084095476
M492T672_pos	0.359591142	0.188425343	0.182532302	0.164270708	0.182319855	0.194681281	0.179703388	0.161891745	0.166003315	0.154715932	0.133558469	0.149544774	0.153452975
M945T438_1_pos	0.036849152	0.012305972	0.018360126	0.021657759	0.005174381	0	0	0.026902268	0.081022136	0.07729273	0.070225675	0.091990549	0.067299134
M376T292_pos	0.223477067	0.15799753	0.167570055	0.10428631	0.168116836	0.19345648	0.20113709	0.484634059	0.511744742	0.758967461	0.55180273	0.642876239	0.446550347
M639T775_pos	1.228972618	0.596141411	0.556213515	0.559331803	0.556462065	0.595028367	0.548673668	0.484941486	0.485718594	0.491113872	0.415639424	0.486837605	0.479065998
M608T147_pos	0.001766587	0.012272581	0.013295207	0.003721239	0.025116421	0.013436505	0.013810795	0.092276407	0.107832745	0.11702313	0.090853819	0.118312274	0.050561509
M317T134_pos	0.159441056	0.149011789	0.183404941	0.136570367	0.127314585	0.148524298	0.131080906	0.405985016	0.415599486	0.446264806	0.308428602	0.49588227	0.350686588
M413T131_pos	0.006968037	0.007061005	0.00512174	0.004331085	0.021279985	0.006293806	0.011231767	1.347306565	0.909460081	0.650364378	0.405651811	1.159643757	0.224772682
M564T302_pos	0.009766049	0.031770945	0.028617181	0.017889411	0.009310756	0.004695808	0.016074809	0.0560269	0.079022715	0.027819902	0.059668185	0.030326923	0.049787276
M209T49_pos	0.024635525	0.020162471	0.029794706	0.016313738	0.051132538	0.055681421	0.037118647	0.244937153	0.295081029	0.314515997	0.22432972	0.257103549	0.433416071
M944T52_pos	0.035735447	0.072288246	0.044592877	0.070817737	0.125011126	0.040786076	0.067421419	0.202952881	0.180393771	0.277473978	0.114207707	0.198292415	0.098480594
M471T230_pos	0.302747213	0.204541587	0.203717622	0.305588272	0.210548156	0.227116634	0.196080024	0.330881418	0.286367451	0.381993802	0.399697666	0.314906653	0.482953698
M302T87_pos	0.264181819	0.190032611	0.17236718	0.090439455	0.202059548	0.204688171	0.19888436	0.484071922	0.327988604	0.427081261	0.308617836	0.396028449	0.416917881
M456T130_pos	0.003463519	0.018671712	0.019056168	0.00931907	0.016908758	0.013570036	0.015593064	0.583255748	0.618425574	0.626254282	0.705725583	0.465151322	0.516466065
M462T778_pos	2.982773296	1.400860105	1.308843987	1.484243766	1.44697558	1.438484976	1.452195704	1.132311745	1.132025378	1.110878704	1.03832775	1.125418587	1.249522245
M228T445_pos	0.138912772	0.062010033	0.064007463	0.064750749	0.054164036	0.057591039	0.050383115	0.04118892	0.040627178	0.041261003	0.037158555	0.035862901	0.037120784
M466T46_pos	0.179919284	0.164576111	0.164006137	0.080136583	0.124244973	0.119045534	0.118429436	1.825133525	2.13730512	2.029160831	1.664942924	1.882069828	2.690955472
M84T49_pos	1.61779455	1.482578761	1.408053612	1.50043568	1.402910102	1.371354683	1.376834748	3.209080515	2.271260852	4.479089878	1.71891254	3.947495677	2.918265721
M335T223_pos	0.090989773	0.062344061	0.084103691	0.05963771	0.128646438	0.125542537	0.137972778	0.165091438	0.12427988	0.234460129	0.167047176	0.218441837	0.181415991
M811T225_1_pos	0.052319571	0.042309242	0.048508787	0.042745931	0.043059167	0.030141563	0.046941239	0.097083577	0.185575545	0.106307414	0.097988982	0.113705696	0.111121346
M250T417_pos	1.20293776	0.581395935	0.615691864	0.644659868	0.597570525	0.637647439	0.656915368	0.529562644	0.467928277	0.529066943	0.389427006	0.550051948	0.520213848
M130T49_pos	11.22363276	9.15193215	8.131324958	9.1723501	8.368280251	8.285909447	8.250961997	14.96270141	12.03976938	19.69680965	9.618826252	17.87866368	15.66468609
M413T54_pos	0.138567813	0.129994371	0.137025149	0.089190472	0.149655232	0.12954737	0.161426948	0.15341438	0.169016435	0.209581907	0.15020123	0.219549697	0.178514576
M481T521_pos	0.132835073	0.032831688	0.087849074	0.099515377	0.024407224	0.025960339	0.012087394	0.187605264	0.379745839	0.32470358	0.736777709	0.43459553	0.722952282
M102T49_pos	2.761664253	2.472352851	2.286879272	2.75493754	2.379234246	2.515973679	2.454146446	4.434074762	3.592359121	6.423598008	2.470747289	5.656656622	4.395915806
M473T245_pos	0.51064328	0.326383942	0.329691053	0.316332322	0.32845131	0.268830497	0.337574767	0.416395311	0.337078098	0.482683357	0.407576789	0.529765456	0.324716619
M488T45_pos	0.031547473	0.047693481	0.10646788	0.029932419	0.032374553	0.113557578	0.028578583	0.120729642	0.165345284	0.200818653	0.180717267	0.21952976	0.192888526
M434T50_pos	0.466530945	2.661989008	2.98681115	2.192859819	2.822127066	3.19916105	3.001199068	9.997786755	11.91409031	11.08041542	11.36786654	8.288157679	15.89602628
M376T220_pos	0.62658375	0.28328457	0.26338866	0.296638261	0.379144361	0.44063399	0.425483429	0.397513581	0.396500926	0.596478172	0.425345727	0.538588828	0.46511395
M361T290_pos	0.455662464	0.425757066	0.411588727	0.319558019	0.435154162	0.566524595	0.522255158	0.449147732	0.4624151	0.773344042	0.606809521	0.557255992	0.598639606
M708T746_pos	0.211493666	0.100662795	0.089290083	0.072275296	0.067894735	0.161062972	0.069247777	0.015614748	0.069013983	0.060563587	0.048984668	0.053767512	0.068107784
M385T129_pos	0.144146937	0.078318338	0.082184985	0.077622929	0.089705727	0.121713453	0.081250007	0.100497975	0.095926257	0.165472706	0.112957655	0.150597533	0.108325821
M821T748_pos	1.140469188	0.562864494	0.539460017	0.51302805	0.544741954	0.600334386	0.57121112	0.46291328	0.423235344	0.460841615	0.406226215	0.470112001	0.502518848
M221T81_pos	0.11285963	0.094519568	0.107492766	0.093498599	0.105962769	0.121956308	0.135603106	0.354177268	0.328298431	0.377605377	0.390909848	0.422492782	0.423724584
M268T432_pos	0.266766569	0.129358477	0.12410725	0.109141891	0.111248936	0.124000821	0.132642894	0.107572893	0.095881512	0.104374138	0.087030685	0.099166413	0.10338726
M200T49_pos	0.041636322	0.049484498	0.046871055	0.028529586	0.043228507	0.048634594	0.051334406	0.252098857	0.291065783	0.308950702	0.235548288	0.254783856	0.447110695
M476T756_pos	0.365757063	0.187332118	0.165294092	0.158638689	0.176722076	0.184355491	0.168279542	0.156577486	0.135516444	0.149086979	0.127560178	0.135459627	0.17099085
M997T278_pos	0.033562822	0.068099359	0.04830106	0.084055472	0.04129683	0.05448189	0.03820733	0.100366863	0.146785638	0.081567802	0.168008984	0.180124897	0.161658287
M352T249_pos	0.671425793	0.565026488	0.502547531	0.376653598	0.415196608	0.480113261	0.384154269	0.124162809	0.138295859	0.251404301	0.233103264	0.127203282	0.253841676
M106T48_pos	2.80074086	1.571190279	1.289536409	1.595284734	1.519379892	1.660141358	1.596116571	0.6962151	0.779299136	0.403363032	0.558058897	0.40371794	1.386027276
M960T404_pos	0.302922495	0.112124226	0.108615345	0.164546961	0.258050102	0.030026669	0.047295816	0.094230194	0.232956809	0.36286592	0.548507894	0.479545051	0.644337858
M743T384_pos	0.04927492	0.010593178	0.016784877	0.036103569	0.004174546	0.004522315	0.006732632	0.030533955	0.048695207	0.033040491	0.036600246	0.030017193	0.036860737
M422T83_pos	0.074317144	0.03966519	0.052847459	0.127228457	0.163413538	0.048913641	0.123151525	0.3161872	0.355957187	0.280707591	0.353253161	0.352112902	0.2765679
M351T459_pos	0.285215048	0.254062491	0.267313682	0.30113452	0.283694129	0.332156082	0.390518906	0.012126307	0.020619861	0.011373339	0.09621593	0.029181536	0.118354204
M951T439_pos	0.021140017	0.003364841	0.01200597	0.011906217	0.002141589	0	0	0.022348793	0.04102767	0.039597496	0.036097632	0.056468021	0.036730651
M257T87_pos	0.272313542	0.191522494	0.175598453	0.115098324	0.12427683	0.115655503	0.174485493	0.694526236	0.734872395	0.541121721	0.286629687	0.565290266	0.321057402
M375T274_pos	0.219706278	0.14823741	0.060471826	0.141834903	0.081822958	0.114623987	0.126129983	0.401074729	0.383235144	0.393221709	0.296377474	0.345477752	0.342555491
M229T243_pos	0.002952978	0.007569894	0.001733806	0.003445275	0.003137074	0.003172973	0.005006804	0.082767392	0.022578496	0.086333192	0.065479889	0.095617871	0.007279567
M60T47_pos	0.820283527	0.451977452	0.386415188	0.461955963	0.435242775	0.50025229	0.467450664	1.792739074	2.028526428	2.370637312	2.093790866	2.368813021	0.471989029
M540T493_pos	0.389110675	0.201377603	0.223424462	0.212555466	0.2462153	0.205001609	0.188099888	0.281909502	0.27820987	0.273202185	0.261185322	0.263304573	0.279257319
M866T438_1_pos	0.066669504	0.061467814	0.053346633	0.053106306	0.056249916	0.064142158	0.071346521	0.045615407	0.037482593	0.058411702	0.021275322	0.038736139	0.02182791
M471T298_pos	0.068307098	0.139529314	0.251734103	0.109777763	0.077550343	0.084487178	0.083901547	0.21301641	0.245332672	0.160579881	0.17158498	0.239058832	0.219457453
M903T279_pos	0.032654363	0.070299891	0.0438639	0.033513816	0.012361087	0.021626316	0.035809362	0.047430785	0.09757643	0.064328408	0.085451031	0.092532342	0.107964111
M609T538_pos	0.010769414	0.107199921	0.026568138	0.030512967	0.000769797	0.000814884	0	0.042704384	0.149454981	0.113029833	0.126336034	0.372789027	0.131125575
M240T233_pos	0.132371128	0.158538293	0.133080336	0.116750794	0.12225246	0.104086457	0.13015305	0.168751938	0.142143997	0.250071228	0.223723527	0.278767907	0.169715902
M364T721_pos	0.979688652	0.497948013	0.459767256	0.456374358	0.472398865	0.448471317	0.479107019	0.401021952	0.426819721	0.417441647	0.266494614	0.397218179	0.447515302
M499T277_pos	0.079417289	0.085253841	0.064713883	0.105779582	0.089494023	0.10862238	0.052520171	0.140378179	0.178523116	0.090175943	0.157517607	0.181071377	0.141517192
M473T493_pos	5.766170804	3.014433469	3.130965177	2.938214716	3.045906304	3.242211908	3.008866286	4.138716393	3.366882318	3.229541099	3.219503372	3.227159421	3.317455514
M888T526_pos	0.078288143	0.102326801	0.058760078	0.066653359	0.112695542	0.116361843	0.115397182	0.010154995	0.006557112	0	0.017801001	0.003324659	0.019069936
M109T417_pos	0.446566793	0.225469664	0.218686025	0.210073179	0.203499839	0.220136656	0.225537538	0.190453282	0.192370294	0.188773249	0.15874076	0.189268374	0.222796455
M524T409_pos	0.071492054	0.064340804	0.073091951	0.078650602	0.099560948	0.08732443	0.152194154	0.085307583	0.202862956	0.370741153	0.174151151	0.4621673	0.181886279
M684T243_pos	0.162546949	0.14428283	0.162247156	0.155721392	0.094326254	0.143769939	0.167622868	0.219259783	0.266337253	0.59255045	0.437315544	0.640834658	0.388240381
M197T45_pos	0.905595315	0.715513429	0.782118526	0.97273158	0.48551647	0.582181945	0.58889556	0.177387172	0.203181443	0.169762493	0.234349798	0.221464041	0.324626895
M296T715_pos	0.331211642	0.147665051	0.132231025	0.141707211	0.145191028	0.139187038	0.149531464	0.133962769	0.134129856	0.117370795	0.104849091	0.126296909	0.116979701
M326T607_pos	1.176247536	0.586429952	0.57751312	0.564478245	0.53570616	0.558654089	0.549267495	0.520554357	0.479586074	0.488464056	0.40805497	0.49871669	0.466674007
M242T445_pos	0.56204306	0.237043135	0.221281191	0.337495216	0.217820728	0.209747444	0.206346013	0.18547559	0.170155554	0.163046509	0.130405725	0.166775631	0.15479948
M610T49_pos	0.116095588	0.131851736	0.102115352	0.09258036	0.188442967	0.134609212	0.109876315	0.279924433	0.22103506	0.218751429	0.161906266	0.254425494	0.25121843
M221T582_pos	0.157148912	0.098631524	0.089180533	0.083341975	0.080834271	0.08921358	0.08772058	0.09488784	0.102623149	0.096370885	0.082216655	0.102105129	0.089087531
M772T49_pos	0.010786182	0.037658967	0.017747609	0.034978179	0.069143583	0.03146372	0.044181471	0.103487567	0.075463459	0.11046505	0.038813802	0.09136892	0.096158545
M892T275_pos	0.02924485	0.011534301	0.004153153	0.015298452	0.012181848	0.011129911	0.023961954	0.075562582	0.066615006	0.093897589	0.105195823	0.060326012	0.177248501
M342T314_pos	0.124141512	0.067050937	0.193912899	0.008997034	0.018718712	0.006933416	0.013492156	0.155798673	0.180445878	0.269842627	0.188785249	0.261400863	0.229073151
M356T577_pos	2.168243832	1.03171241	1.066623752	1.093455847	1.043402677	1.02545465	1.028281575	0.948240672	0.937133181	0.946648992	0.810637258	0.940859267	0.964938387
M397T773_pos	1.118539551	0.519684089	0.556204527	0.55241449	0.462447374	0.488538858	0.470646087	0.399136865	0.435075627	0.475557501	0.3673932	0.492517583	0.457644016
M423T96_pos	0.01444816	0.030257193	0.036403495	0.015859422	0.02829327	0.030125274	0.028170223	0.529096923	0.563189034	0.737217095	0.613176093	0.788546062	0.511083999
M836T764_pos	0.163046225	0.042903589	0.062350581	0.067096717	0.097984511	0.098544176	0.059388488	0.033279871	0.160718964	0.177351433	0.09948063	0.147661059	0.112096187
M960T45_pos	0.266270338	0.093781048	0.082856681	0.133211919	0.106465613	0.093730879	0.104356438	0.06371845	0.070702231	0.05352822	0.079310426	0.052537872	0.082531018
M595T242_pos	0.032937717	0.033361201	0.015641788	0.034261071	0.040042808	0.018216157	0.029907459	0.095618193	0.140330939	0.131895724	0.065884547	0.136392791	0.046663056
M162T134_pos	3.159722435	1.468891576	1.574451169	1.530660418	1.547324641	1.778025481	1.455849878	0.598798793	0.724913264	0.703383275	0.708144728	0.58958802	1.003560014
M333T471_pos	0.487501146	0.223473593	0.231897568	0.234333236	0.327429872	0.275690101	0.209131342	0.201759505	0.173676549	0.171913005	0.126327948	0.153171622	0.218662569
M260T182_pos	0.321263758	0.22773282	0.283219672	0.22051187	0.199863963	0.201502917	0.229663679	0.379116183	0.298972527	0.425733446	0.632694213	0.357763309	0.691339621
M881T526_pos	0.121843417	0.113483414	0.102100813	0.104274302	0.115365523	0.122553987	0.123391544	0.012563389	0.01965495	0	0.056548258	0.005865703	0.060115128
M104T47_pos	15.37557917	9.690755754	8.433447774	13.42163338	6.10847529	5.553063152	4.09309485	135.0708865	142.5424785	157.1274143	133.8342443	156.7674791	52.75320828
M456T309_pos	1.22014544	0.948552767	1.179018615	0.797066519	0.779363894	0.730852016	0.86815256	1.904659805	1.803236079	1.626675192	1.438952027	2.456704487	1.358645987
M505T238_pos	0.247020442	0.095299221	0.10595068	0.319335279	0.137559458	0.217026729	0.083698869	0.225267321	0.289145984	0.319019335	0.277556386	0.356976868	0.251652371
M874T350_pos	0.085838139	0.053674045	0.051589227	0.079382645	0.044007129	0.040516099	0.065936863	0.073357546	0.153121761	0.110489021	0.12602882	0.09517459	0.107735112
M197T671_pos	0.991907753	0.492603274	0.493411069	0.471371572	0.478803118	0.489034143	0.471428385	0.436534974	0.463682214	0.430055003	0.362931273	0.415066166	0.454131672
M675T297_pos	0.24872219	0.165874377	0.196783237	0.119362936	0.113084689	0.128212463	0.121225463	0.231296042	0.245400128	0.439818696	0.228388823	0.340325402	0.240172077
M661T392_pos	0.294124236	0.338098384	0.300545076	0.205427807	0.175543692	0.310089793	0.216595833	0.035835238	0.059133336	0.080014508	0.064447243	0.097988073	0.114207367
M811T225_2_pos	0.0487423	0.029767845	0.04098482	0.032064162	0.046297408	0.038279453	0.038832446	0.056944612	0.119258368	0.089876317	0.064190577	0.062543081	0.062710904
M742T230_pos	0.041071939	0.028861814	0.03255426	0.033867799	0.050760329	0.048414882	0.042157338	0.096244755	0.142858041	0.156871587	0.103982922	0.112754106	0.106924826
M785T758_pos	0.311638816	0.200438086	0.113855138	0.174835003	0.32036752	0.127162343	0.066003094	0.04639665	0.071904153	0.059212719	0.061282252	0.044557675	0.055150795
M480T449_pos	0.368278885	0.191201598	0.211325351	0.433359738	0.24839534	0.306460211	0.249310614	0.06346461	0	0.286283658	0.130184701	0.065867729	0.036928251
M412T668_pos	0.248368127	0.111055974	0.105221846	0.107898899	0.106875659	0.112998296	0.112359993	0.1030166	0.105634607	0.0910227	0.077739174	0.097428191	0.089791361
M851T230_pos	0.035134868	0.044292321	0.051305809	0.126832026	0.014043632	0.017536211	0.037397277	0.08382719	0.284869022	0.488307286	0.247601408	0.252538557	0.357445498
M344T92_pos	0.194806351	0.324686198	0.372177302	0.226755701	0.104535894	0.308133842	0.096091431	0.523264182	0.461349017	0.371929164	0.498385389	0.46465189	0.563087397
M454T372_pos	0.065616501	0.028694506	0.045006465	0.055435113	0.086299502	0.088577675	0.100790634	0.141291369	0.216477857	0.141003017	0.181520841	0.186396921	0.186764928
M537T350_pos	0.539411089	0.324067462	0.8677487	0.111648616	0.163554018	0.01581941	0.078071426	0.786208245	1.147270914	1.147992071	1.271971427	1.1643676	1.627229666
M206T134_pos	0.449578462	0.203145291	0.222367368	0.236095539	0.229421235	0.235643619	0.225586211	0.087885739	0.108530207	0.104875229	0.103166657	0.076126471	0.145435434
