Group,Concentration
Control,1.580894584
Control,1.732712605
Control,1.567987685
Control,2.29851449
Control,2.191477075
Control,2.301120885
Control,2.381006722
Control,2.23071059
DSS,2.125995795
DSS,6.844500433
DSS,4.055958087
DSS,5.110181313
DSS,1.853157357
DSS,2.343960579
DSS,6.35951718
DSS,1.327032907
DSS,3.26834874
P.goldsteinii,2.851995071
P.goldsteinii,2.155614622
P.goldsteinii,1.942322409
P.goldsteinii,3.603809404
P.goldsteinii,4.661788963
P.goldsteinii,6.474716546
P.goldsteinii,5.60397188
P.goldsteinii,2.412256485
P.goldsteinii,3.425477791
