name	FD_C1	FD_C2	FD_C3	FD_C4	FD_C5	FD_C7	FD_C8	FD_D1	FD_D2	FD_D3	FD_D4	FD_D5	FD_D6	FD_D7	FD_D8	FD_PG2	FD_PG3	FD_PG5	FD_PG6	FD_PG7	FD_PG8
M392T774_pos	0.986119307	0.462726733	0.44881995	0.428470418	0.429479885	0.457397173	0.467074474	0.427409562	1.213217481	0.616157487	0.39995949	0.396949	0.407397955	0.3896732	0.390105607	0.368186875	0.386601916	0.371470045	0.3079661	0.394401275	0.375716905
M524T772_pos	1.628266937	0.7992437	0.79584309	0.750909737	0.742255489	0.776774686	0.743232493	0.782705014	2.041147588	0.996503186	0.648291512	0.648868226	0.666410676	0.642131554	0.64243907	0.611796569	0.616816244	0.610165236	0.526625297	0.632908806	0.636406308
M480T773_pos	2.039687585	0.969994939	0.920623834	0.969951158	0.909206527	0.976405129	0.899965006	0.904999832	2.538818354	1.243840181	0.799046371	0.819469094	0.80633166	0.75202705	0.80423331	0.78376481	0.770751357	0.782295565	0.646610854	0.813586559	0.829211539
M324T580_pos	1.799858728	0.883291855	0.920087815	0.855926293	0.844728605	0.883235909	0.868649036	0.795333302	2.416738078	1.226022552	0.850393133	0.802640415	0.814178887	0.781633981	0.776213233	0.764082665	0.746400617	0.772709298	0.636182499	0.74163546	0.723933602
M960T438_pos	0.115056656	0.043150496	0.06541456	0.05533861	0.056505581	0.000843626	0.000805238	0.287494851	0.488994884	0.203889094	0.240922045	0.405489985	0.351794523	0.389646328	0.424364025	0.135504801	0.259988256	0.308292899	0.254012068	0.359568037	0.237901103
M277T475_pos	0.521978804	0.219529068	0.216367848	0.200889683	0.209121014	0.218399876	0.213729633	0.180878896	0.53796974	0.263835424	0.162195476	0.148901444	0.151143751	0.161066991	0.161839225	0.15522082	0.153033743	0.151896229	0.140119422	0.143462167	0.152561578
M304T558_pos	0.595237466	0.276371718	0.262188358	0.259401756	0.238506014	0.248769623	0.252756727	0.226286359	0.762731801	0.364938686	0.220049624	0.218726486	0.222324742	0.210310667	0.222307163	0.221902084	0.211329064	0.219162307	0.178555612	0.208429849	0.205603958
M578T743_pos	1.548248237	0.784614773	0.847667902	0.651724061	0.667372542	0.697419385	0.689625418	0.745744294	2.156872946	1.131271101	0.701592734	0.614424475	0.671633783	0.67399496	0.64086466	0.601373335	0.652080135	0.59403984	0.500977117	0.568874812	0.610319247
M754T677_pos	0.549264638	0.248930146	0.23895767	0.224618178	0.219185871	0.208744285	0.187698109	0.189047468	0.514206301	0.240159858	0.157804947	0.160792561	0.161045021	0.162058677	0.158472911	0.132528916	0.124392228	0.11794764	0.103533415	0.114952769	0.112799921
M209T629_pos	1.558411006	0.718510582	0.749061504	0.705730327	0.736162457	0.761255797	0.723188926	0.683669668	2.037671406	0.988475156	0.69701395	0.639070959	0.660747376	0.719530161	0.646241293	0.624502998	0.64648852	0.646040009	0.541528758	0.646856358	0.70201158
M454T645_pos	0.197132485	0.112751636	0.096459495	0.115065459	0.106242159	0.104628389	0.101358747	0.094352716	0.268438073	0.128144424	0.087387018	0.081227647	0.085707488	0.081696976	0.083654934	0.083964572	0.080985844	0.078917379	0.066152974	0.069117355	0.08001393
M436T773_pos	1.343040128	0.621008504	0.595840943	0.54025616	0.56061948	0.580627851	0.583308475	0.497669812	1.526801474	0.803196001	0.469351711	0.469652302	0.483664071	0.49996478	0.474089182	0.465007889	0.44776729	0.453130535	0.376059271	0.444463701	0.462613102
M551T54_pos	0.04528525	0.046890729	0.048593585	0.041947562	0.045526802	0.047599698	0.042965362	0.124439073	0.094578298	0.109156768	0.098926096	0.136687033	0.125814631	0.123089244	0.080605055	0.120752322	0.134609253	0.156784053	0.11458801	0.124576461	0.189014703
M506T778_pos	3.699158257	1.731004638	1.646262344	1.766832719	1.60588847	1.741802292	1.706929513	1.578530736	4.431091513	2.211029269	1.479431492	1.484920577	1.503017749	1.441784362	1.50347617	1.399145284	1.399598037	1.359318527	1.239824771	1.372332359	1.470085253
