"","FD_C1","FD_C2","FD_C3","FD_C4","FD_C5","FD_C7","FD_C8","FD_D1","FD_D2","FD_D3","FD_D4","FD_D5","FD_D6","FD_D7","FD_D8","FD_PG2","FD_PG3","FD_PG5","FD_PG6","FD_PG7","FD_PG8"
"4-Hydroxystyrene",0.105616067,0.632065215,0.607051489,0.070252528,0.40749996,0.419295082,0.960878942,1.135802015,1.375418619,16.9692059,1.099294627,7.604270822,10.6233899,10.55895713,14.83747378,0.732994636,0.686198094,4.541136281,0.857158542,1.272964362,0.336390985
"Tyramine",0.326260416,0.128943081,0.163232561,0.150669293,0.438702683,0.430772859,0.677309454,0.929998563,2.930813202,12.92771796,1.140002656,7.726703774,9.609623282,9.811947689,14.31283192,0.655476789,0.526010659,4.455118942,0.824879248,1.239370586,0.386837091
"Urocanic acid",4.359947968,4.276681717,4.606780551,3.675073551,2.672565126,4.421819772,5.195773996,6.392922843,9.689684608,2.799368577,2.774774681,0.207138315,1.735646943,3.1323185,1.987396933,4.095917003,4.261532691,0.623336671,1.196873549,1.627493976,1.578529808
"Indole-3-carboxaldehyde",0.261635438,0.313106198,0.299667154,0.196542534,0.276228657,0.394106558,0.306477682,0.199685096,0.217603058,0.065369777,0.134987558,0.20036831,0.066530097,0.130589569,0.060200848,0.096577903,0.122308202,0.079279963,0.258547804,0.130047322,0.325284498
"1-Acetylproline",1.575664921,1.432210499,1.324182518,0.935833829,1.754683049,1.712397039,1.647961274,0.61319091,0.460316981,0.143454051,0.426376433,0.645468381,0.208853978,0.333528711,0.206506744,0.704552852,0.822624231,0.674015921,0.973932829,0.213867363,1.206471317
"3-Hydroxy-3-phenylpropanoic acid",1.716000963,1.35531871,0.987635587,1.516389803,1.413873089,0.858316869,1.059790561,2.935435492,2.987690405,6.889351856,1.966146317,1.656584702,3.703259154,5.286470559,10.46345256,4.998661523,4.192535524,2.644547859,1.995541637,3.294326389,1.348831789
"Leucylalanine",0.337442909,0.316339536,0.442088298,0.246146453,0.293284032,0.329117434,0.438698588,0.697957052,0.42126347,0.609091927,1.012447977,1.081269787,0.678246033,1.076952496,0.609851669,0.395185023,0.312453774,0.595324334,0.784536495,0.559634395,0.798985069
"Indolelactic acid",0.330354517,0.455785715,0.348597146,0.159475501,0.549658275,0.396760451,0.381986277,0.211539687,0.167446344,0.036130667,0.093438537,0.254959303,0.011037865,0.098970663,0.015247043,0.512023392,0.332063801,0.245953981,0.245912774,0.042645752,0.21033766
"Prolylproline",0.36073119,0.16376528,0.126942087,0.301355189,0.145451599,0.167668545,0.148554706,0.482326991,3.711160555,14.97417413,1.582699773,0.775715379,12.99807232,4.305971522,10.87493571,0.412455643,0.383901682,0.859872941,0.097570506,1.641722976,0.140965252
"Valylvaline",3.265906807,4.017873115,3.338942289,2.928189134,3.35980026,4.39262145,3.637151553,1.829930399,1.512228341,0.55080725,1.45186935,2.181382183,1.161338473,1.411916747,1.109948261,2.063343477,1.911333153,1.610484685,3.415995213,1.534996372,4.029992266
"Prolylhydroxyproline",7.934156942,8.753430563,7.889888955,7.841788691,7.957296583,9.094949183,7.788308052,6.012419832,2.787829311,2.300650088,4.622475405,5.197136578,3.744305058,3.623317174,2.536560069,6.287353391,6.679295739,5.847603778,6.894271886,3.80553987,7.654451412
"Threonylisoleucine",1.87982907,1.293638751,1.659914148,1.136190033,1.099613063,1.251499919,1.231720834,2.191824661,1.566032134,1.823174103,3.999110277,4.684834807,1.930239689,4.503130071,1.788068468,1.385084763,0.85198977,1.707163965,1.946820804,1.297542626,2.046961625
