Group,Concentration
Control,1523.309187
Control,1618.956063
Control,1615.083326
Control,1515.177352
Control,2369.240214
Control,2516.834073
Control,2230.60246
Control,2170.982295
DSS,2894.873132
DSS,3216.625116
DSS,2596.755767
DSS,3729.19155
DSS,2374.66984
DSS,2830.950198
DSS,4579.122884
P.goldsteinii,2876.528123
P.goldsteinii,2010.387139
P.goldsteinii,2174.100806
P.goldsteinii,1191.859964
P.goldsteinii,2056.471391
P.goldsteinii,2319.97386
P.goldsteinii,1683.953858
P.goldsteinii,3423.15248
P.goldsteinii,1826.955676
