Group,Concentration
Control,705.7354725
Control,619.3607333
Control,902.3117687
Control,607.5860966
Control,641.5092539
Control,1094.9707
Control,726.0059252
Control,675.814336
DSS,857.655307
DSS,1308.112194
DSS,1280.314773
DSS,954.0301241
DSS,418.6474506
DSS,907.6905425
DSS,690.5945634
DSS,1160.814465
DSS,387.0951997
P.goldsteinii,468.3624034
P.goldsteinii,690.506688
P.goldsteinii,494.2351685
P.goldsteinii,1174.585037
P.goldsteinii,751.5791272
P.goldsteinii,913.8207275
P.goldsteinii,709.0612319
P.goldsteinii,1007.518697
P.goldsteinii,682.2454577
