Group,Concentration
Control,0.088554426
Control,0.08984102
Control,0.100962886
Control,0.064176913
Control,0.086028377
Control,0.101437417
Control,0.044988614
Control,0.038571245
DSS,0.028275928
DSS,0.053243904
DSS,0.028817913
DSS,0.020805423
DSS,0.004939717
DSS,0.026896832
DSS,0.002231411
DSS,0.000569428
DSS,0.005481856
P.goldsteinii,0.000986416
P.goldsteinii,0.132391187
P.goldsteinii,0.004269223
P.goldsteinii,0.045261942
P.goldsteinii,0.00567738
P.goldsteinii,0.032167141
P.goldsteinii,0.002187399
P.goldsteinii,0.000806933
P.goldsteinii,0.010655989
