name	FD_D1	FD_D2	FD_D3	FD_D4	FD_D5	FD_D6	FD_D7	FD_D8	FD_PG2	FD_PG3	FD_PG5	FD_PG6	FD_PG7	FD_PG8
M392T774_pos	0.427409562	1.213217481	0.616157487	0.39995949	0.396949	0.407397955	0.3896732	0.390105607	0.368186875	0.386601916	0.371470045	0.3079661	0.394401275	0.375716905
M524T772_pos	0.782705014	2.041147588	0.996503186	0.648291512	0.648868226	0.666410676	0.642131554	0.64243907	0.611796569	0.616816244	0.610165236	0.526625297	0.632908806	0.636406308
M480T773_pos	0.904999832	2.538818354	1.243840181	0.799046371	0.819469094	0.80633166	0.75202705	0.80423331	0.78376481	0.770751357	0.782295565	0.646610854	0.813586559	0.829211539
M324T580_pos	0.795333302	2.416738078	1.226022552	0.850393133	0.802640415	0.814178887	0.781633981	0.776213233	0.764082665	0.746400617	0.772709298	0.636182499	0.74163546	0.723933602
M960T438_pos	0.287494851	0.488994884	0.203889094	0.240922045	0.405489985	0.351794523	0.389646328	0.424364025	0.135504801	0.259988256	0.308292899	0.254012068	0.359568037	0.237901103
M277T475_pos	0.180878896	0.53796974	0.263835424	0.162195476	0.148901444	0.151143751	0.161066991	0.161839225	0.15522082	0.153033743	0.151896229	0.140119422	0.143462167	0.152561578
M304T558_pos	0.226286359	0.762731801	0.364938686	0.220049624	0.218726486	0.222324742	0.210310667	0.222307163	0.221902084	0.211329064	0.219162307	0.178555612	0.208429849	0.205603958
M578T743_pos	0.745744294	2.156872946	1.131271101	0.701592734	0.614424475	0.671633783	0.67399496	0.64086466	0.601373335	0.652080135	0.59403984	0.500977117	0.568874812	0.610319247
M754T677_pos	0.189047468	0.514206301	0.240159858	0.157804947	0.160792561	0.161045021	0.162058677	0.158472911	0.132528916	0.124392228	0.11794764	0.103533415	0.114952769	0.112799921
M209T629_pos	0.683669668	2.037671406	0.988475156	0.69701395	0.639070959	0.660747376	0.719530161	0.646241293	0.624502998	0.64648852	0.646040009	0.541528758	0.646856358	0.70201158
M454T645_pos	0.094352716	0.268438073	0.128144424	0.087387018	0.081227647	0.085707488	0.081696976	0.083654934	0.083964572	0.080985844	0.078917379	0.066152974	0.069117355	0.08001393
M436T773_pos	0.497669812	1.526801474	0.803196001	0.469351711	0.469652302	0.483664071	0.49996478	0.474089182	0.465007889	0.44776729	0.453130535	0.376059271	0.444463701	0.462613102
M551T54_pos	0.124439073	0.094578298	0.109156768	0.098926096	0.136687033	0.125814631	0.123089244	0.080605055	0.120752322	0.134609253	0.156784053	0.11458801	0.124576461	0.189014703
M506T778_pos	1.578530736	4.431091513	2.211029269	1.479431492	1.484920577	1.503017749	1.441784362	1.50347617	1.399145284	1.399598037	1.359318527	1.239824771	1.372332359	1.470085253
M360T271_pos	1.632184871	1.560334634	1.109596981	1.153502362	1.820497652	1.778778842	1.36125542	1.648969252	1.243495063	1.41638118	1.844592256	1.367636393	1.624914469	1.459746991
M550T777_pos	1.240278652	3.517436945	1.787585687	1.190327589	1.192808114	1.200188197	1.231447085	1.180265522	1.130340362	1.131442995	1.10594716	0.976877718	1.115919169	1.152589302
M593T277_pos	0.200700244	0.271445685	0.242032107	0.161392541	0.301735268	0.20824943	0.223048679	0.312535725	0.261204335	0.290945892	0.300208383	0.16228627	0.225901504	0.219414472
M235T499_pos	0.579826337	1.859623176	0.936217716	0.590184239	0.544773043	0.55948359	0.559227347	0.572080092	0.561147508	0.568188525	0.575610452	0.436902781	0.565311545	0.542199507
M251T507_pos	0.146777996	0.474351968	0.2289223	0.15050817	0.146402432	0.149476407	0.151856234	0.153169067	0.149587247	0.147195232	0.14050639	0.120294165	0.133653225	0.148846456
M546T658_pos	3.696307036	11.42661128	5.583820338	3.276589514	2.972763097	2.839850182	2.310469223	3.205265244	2.994028881	3.035907201	2.955037533	2.348775628	2.995607824	2.887511728
M776T735_pos	0.425117956	1.337314653	0.914929609	0.682516821	0.509353392	0.599809338	0.426226954	0.452531048	0.378765291	0.38074997	0.557804325	0.366092565	0.363988651	0.481547865
M391T145_pos	0.399164129	0.342007702	0.504051307	0.400895889	0.385117144	0.586099334	0.394081423	0.499004922	0.633520094	0.587882857	0.768039564	0.41896105	0.758386401	0.42084481
M594T776_pos	0.843880793	2.577266132	1.273164186	0.851407983	0.83213763	0.852860853	0.895620867	0.854779976	0.78674335	0.794144127	0.780301517	0.681903368	0.796640599	0.829384341
M223T664_pos	4.454085682	13.47763197	6.606474133	4.548835783	4.429306853	4.390787473	4.490239998	4.379793895	4.361419003	4.362110695	4.190623654	3.541703911	4.145090904	4.217112617
M695T228_pos	0.123499409	0.154957365	0.127164707	0.113500818	0.126450284	0.19331928	0.143661011	0.212934931	0.090974191	0.099853893	0.114170546	0.186101849	0.188981416	0.117505516
M341T660_pos	0.255966199	0.77704694	0.360795291	0.245108804	0.220303156	0.241164869	0.233511082	0.231500801	0.250325552	0.246602735	0.221343892	0.188621524	0.230048202	0.241135776
M929T438_1_pos	0.083278346	0.217847911	0.058070922	0.082693917	0.136052904	0.130550406	0.13072569	0.140148183	0.038596233	0.065984606	0.086529306	0.078855747	0.109479832	0.084095476
M492T672_pos	0.180354586	0.463409264	0.240749287	0.167679523	0.148081757	0.160435864	0.151545942	0.157233075	0.161891745	0.166003315	0.154715932	0.133558469	0.149544774	0.153452975
M945T438_1_pos	0.089415718	0.154506843	0.031423792	0.085527977	0.137049084	0.124003084	0.131898452	0.144472046	0.026902268	0.081022136	0.07729273	0.070225675	0.091990549	0.067299134
M376T292_pos	0.666779413	0.614135835	0.416197079	0.475736577	0.782525572	0.694178518	0.563019359	0.634575476	0.484634059	0.511744742	0.758967461	0.55180273	0.642876239	0.446550347
M639T775_pos	0.537718679	1.54285923	0.778198254	0.520670763	0.508620362	0.50767889	0.534378734	0.392865082	0.484941486	0.485718594	0.491113872	0.415639424	0.486837605	0.479065998
M608T147_pos	0.068161966	0.033086577	0.084001123	0.0851432	0.076087533	0.111852122	0.061090541	0.120179141	0.092276407	0.107832745	0.11702313	0.090853819	0.118312274	0.050561509
M317T134_pos	0.255977994	0.264038066	0.326810982	0.35516896	0.279619813	0.341372714	0.231681124	0.332029884	0.405985016	0.415599486	0.446264806	0.308428602	0.49588227	0.350686588
M413T131_pos	0.092561698	0.151794461	0.026459765	0.006770469	0.588818696	1.450089336	0.728234336	1.661058057	1.347306565	0.909460081	0.650364378	0.405651811	1.159643757	0.224772682
M564T302_pos	0.033286066	0.013462981	0.021841839	0.021086992	0.054139521	0.039086843	0.050952016	0.03979148	0.0560269	0.079022715	0.027819902	0.059668185	0.030326923	0.049787276
M209T49_pos	0.213851111	0.295469481	0.175141009	0.196301099	0.230210975	0.152292798	0.17591913	0.173071018	0.244937153	0.295081029	0.314515997	0.22432972	0.257103549	0.433416071
M944T52_pos	0.074181421	0.167716151	0.196715823	0.153910469	0.101938968	0.165762956	0.157132179	0.149097151	0.202952881	0.180393771	0.277473978	0.114207707	0.198292415	0.098480594
M471T230_pos	0.329078979	0.285473892	0.239677197	0.30650859	0.363375722	0.298506445	0.398952353	0.341005251	0.330881418	0.286367451	0.381993802	0.399697666	0.314906653	0.482953698
M302T87_pos	0.265850129	0.459039141	0.249437478	0.317201052	0.243802272	0.331627094	0.22132542	0.359559732	0.484071922	0.327988604	0.427081261	0.308617836	0.396028449	0.416917881
M456T130_pos	0.405198235	0.310643091	0.236787649	0.268426973	0.386413661	0.317551427	0.250186693	0.221291033	0.583255748	0.618425574	0.626254282	0.705725583	0.465151322	0.516466065
M462T778_pos	1.286009097	3.640463094	1.824895578	1.166218831	1.188086216	1.292068592	1.22829368	1.262543837	1.132311745	1.132025378	1.110878704	1.03832775	1.125418587	1.249522245
M228T445_pos	0.048907626	0.15755888	0.074012172	0.048098583	0.048804067	0.047615892	0.054558979	0.0470847	0.04118892	0.040627178	0.041261003	0.037158555	0.035862901	0.037120784
M466T46_pos	1.569504548	2.559310616	1.386552906	1.035538679	1.32314539	1.098157234	0.943835026	1.075893518	1.825133525	2.13730512	2.029160831	1.664942924	1.882069828	2.690955472
M84T49_pos	1.871444697	3.767713658	3.403708525	2.071147542	2.478731169	2.450493872	3.182459388	3.152805723	3.209080515	2.271260852	4.479089878	1.71891254	3.947495677	2.918265721
M335T223_pos	0.14105591	0.194594162	0.132923902	0.166624645	0.235098497	0.326760332	0.197000347	0.316387374	0.165091438	0.12427988	0.234460129	0.167047176	0.218441837	0.181415991
M811T225_1_pos	0.134305635	0.105799646	0.09692866	0.048817103	0.225477055	0.112026788	0.131720804	0.118194557	0.097083577	0.185575545	0.106307414	0.097988982	0.113705696	0.111121346
M250T417_pos	0.516769788	1.593073106	0.850133724	0.522579147	0.51746294	0.490045477	0.537397695	0.533982477	0.529562644	0.467928277	0.529066943	0.389427006	0.550051948	0.520213848
M130T49_pos	11.80396569	19.93960854	19.16756034	12.15552685	11.72055654	13.70816922	16.91374919	17.0855468	14.96270141	12.03976938	19.69680965	9.618826252	17.87866368	15.66468609
M413T54_pos	0.150101649	0.215412791	0.133316472	0.152363998	0.168673537	0.209467483	0.163323286	0.212772961	0.15341438	0.169016435	0.209581907	0.15020123	0.219549697	0.178514576
M481T521_pos	0.39650314	0.213236643	0.503936183	0.348623957	0.483696286	0.371358477	0.70901653	0.347259181	0.187605264	0.379745839	0.32470358	0.736777709	0.43459553	0.722952282
M102T49_pos	2.93684432	5.900568497	4.977385869	3.159176216	3.77741698	3.529080745	4.813156977	4.462945027	4.434074762	3.592359121	6.423598008	2.470747289	5.656656622	4.395915806
M473T245_pos	0.33427799	0.389416526	0.308162088	0.298338857	0.478308176	0.459993694	0.334902366	0.46618071	0.416395311	0.337078098	0.482683357	0.407576789	0.529765456	0.324716619
M488T45_pos	0.134211245	0.38044403	0.164192739	0.130509093	0.181958152	0.148052388	0.131982773	0.117615328	0.120729642	0.165345284	0.200818653	0.180717267	0.21952976	0.192888526
M434T50_pos	10.10441608	9.475720322	6.482524699	8.147532685	9.194262472	6.406553464	7.138596625	6.055631922	9.997786755	11.91409031	11.08041542	11.36786654	8.288157679	15.89602628
