Group,Concentration
Control,0.122561503
Control,0.181237115
Control,0.121010196
Control,0.707916102
Control,0.34728841
Control,0.206534915
Control,0.151835646
Control,0.162424972
DSS,0.233651253
DSS,0.145072365
DSS,0.278389223
DSS,0.132335989
DSS,0.181242
DSS,0.152598361
DSS,0.291739403
DSS,0.272176574
DSS,0.198002156
P.goldsteinii,0.418317916
P.goldsteinii,0.110922561
P.goldsteinii,0.350626459
P.goldsteinii,0.576267774
P.goldsteinii,0.144444626
P.goldsteinii,0.453280161
P.goldsteinii,0.112831614
P.goldsteinii,0.119889056
P.goldsteinii,0.084099132
